article_title,article_type,location,proposed_development,article_link
Highland Park residents fighting to save historic ‘Little Villa’ home,Reporting,Alabama,Historic Preservation,https://www.wbrc.com/2023/12/16/highland-park-residents-fighting-save-historic-little-villa-home/
Neighbors in food desert upset seeing demolition of old Western grocery store for luxury apartments,Reporting,Alabama,New Apartments,https://www.wvtm13.com/article/birmingham-five-points-south-highland-food-desert-western-grocery-store/45922902
Shelburne Agreement Outlines 375-Unit Housing Development,Reporting,Vermont,New Apartments,https://m.sevendaysvt.com/home-design/shelburne-agreement-outlines-375-unit-housing-development-42706476
Seth Steinzor: ‘Blowin’ in the wind’,Op-Ed,Vermont,Housing,https://vtdigger.org/2025/01/24/seth-steinzor-blowin-in-the-wind/
Tampa city council denies plans for new high-rise on synagogue's property along Bayshore Boulevard,Reporting,Florida,New Apartments,https://www.fox13news.com/news/tampa-city-council-denies-plans-for-new-high-rise-on-synagogues-property-along-bayshore-boulevard
Seymour residents oppose building apartments at former school site,Reporting,Connecticut,New Apartments,https://www.nhregister.com/connecticut/article/Seymour-residents-oppose-building-apartments-at-11385025.php
"Greenwich's Glenville Street 'worst possible site' for 3-story residential building, neighbors say",Reporting,Connecticut,New Apartments,https://www.greenwichtime.com/news/article/greenwich-glenville-street-18378576.php
"Louisville organizations, community members urge Metro Council to oppose building new jail",Reporting,Kentucky,Prison,https://www.whas11.com/article/news/local/open-letter-metro-council-louisville-oppose-new-jail-lmdc-organizations/417-825a050e-f605-458e-a9ff-f94fe049caad
Dumping Ground? Groups oppose building of school at New Orleans waste site,Reporting,Louisiana,School,https://hechingerreport.org/dumping-ground-groups-oppose-building-of-school-at-new-orleans-waste-site/
"Lake Caroline homeowners oppose building gas station, convenience store at entrance of neighborhood",Reporting,Mississippi,Gas Station,https://www.wlbt.com/video/2023/12/13/lake-caroline-homeowners-oppose-building-gas-station-convenience-store-entrance-neighborhood/
Activists to oppose proposed 9-story building at 22nd and Mission,Reporting,California,New Apartments,https://missionlocal.org/2018/10/activists-to-oppose-proposed-9-story-building-at-22nd-and-mission/
Groups oppose building project near panther preserve in Collier County,Reporting,Florida,New Mixed Use,https://www.gulfshorebusiness.com/gb_daily/groups-oppose-building-project-near-panther-preserve-in-collier-county/
Residents oppose building proposal on New Watermelon Road,Reporting,Alabama,New Commercial (Retail),https://www.wvua23.com/news/local/residents-oppose-building-proposal-on-new-watermelon-road/article_08ac44d5-7b3e-5459-9801-a959c37f0390.html
"Residents oppose apartment projects planned for Laverne Avenue, East State",Reporting,Indiana,New Apartments,https://www.fwbusiness.com/news/government/article_c2807939-1243-5de3-bd40-0ce53931f8af.html
North Canton opposes plans for new apartments at Waterside,Reporting,Ohio,New Apartments,https://subscribe.cantonrep.com/restricted?return=https%3A%2F%2Fwww.cantonrep.com%2Fstory%2Fnews%2F2021%2F03%2F05%2Fnorth-canton-council-votes-oppose-apartment-building-waterside%2F4596201001%2F&gps-source=CPROADBLOCKDH&itm_source=roadblock&itm_medium=onsite&itm_campaign=premiumroadblock&gca-cat=p&gca-uir=true&gca-epti=z116457e007900v116457b0072xxd117265&gca-ft=125&gca-ds=sophi&theme=twentyfour&hideGrid=true&gnt-eid=control
Royal Oak neighbors oppose apartment plan for abandoned nursing home,Reporting,Michigan,New Apartments,https://www.fox2detroit.com/news/royal-oak-neighbors-oppose-apartment-plan-for-abandoned-nursing-home
River Market Parking Woes Prompt Plan Commission to Oppose Apartment Tower,Reporting,Missouri,New Apartments,https://flatlandkc.org/news-issues/river-market-parking-woes-prompt-plan-commission-to-oppose-apartment-tower/
Old Town Neighbors Oppose Apartment Tower Plan Despite Positive Traffic Study Results,Reporting,Illinois,New Apartments,https://blockclubchicago.org/2024/12/12/old-town-neighbors-oppose-apartment-tower-plan-despite-positive-traffic-study-results/
Hamlin residents oppose apartment proposal,Reporting,Florida,New Apartments,https://www.orangeobserver.com/news/2024/may/25/hamlin-residents-oppose-apartment-proposal/
Seattle Council Approves Batch of Harrell’s Downtown Activation Plan Rezones,Reporting,Washington,Rezoning,https://www.theurbanist.org/2023/09/27/seattle-council-approves-batch-of-harrells-downtown-activation-plan-rezones/
Will upzoning neighborhoods make homes more affordable?,Reporting,N/A,Rezoning,https://archive.curbed.com/2020/1/30/21115351/upzoning-definition-affordable-housing-gentrification
Housing is (Not) a Human Right,Op-Ed,Minnesota,Housing (General),https://streets.mn/2017/07/14/housing-is-not-a-human-right/
"Eyesore or neighborhood character? As these St. Paul billboards come down, neighbors debate.",Reporting,Minnesota,Billboard,https://www.startribune.com/eyesore-or-neighborhood-character-as-a-set-of-st-paul-billboards-come-down-neighbors-debate/601188167
The Cedars: A Dallas neighborhood balancing growth and identity,Reporting,Texas,New Apartments,https://www.wfaa.com/article/news/special-reports/boomtown-dfw/boomtown-cedars-dallas-neighborhood-balancing-growth-and-identity/287-910aaed7-1824-4d14-9716-a822f0cf8a45
Neighbors oppose 41-unit housing project in St. Helena,Reporting,California,New Apartments,https://www.pressdemocrat.com/article/napa/st-helena-housing-proposal/
Why Boulder is rethinking ‘neighborhood character’,Reporting,Colorado,Rezoning,https://boulderreportinglab.org/newsletter/%F0%9F%8F%98%EF%B8%8F-why-boulder-is-rethinking-neighborhood-character/
Teaneck weighs accessory dwelling ordinance after master plan approval,Reporting,New Jersey,ADUs,https://www.northjersey.com/story/news/bergen/teaneck/2025/02/10/teaneck-nj-accessory-dwelling-ordinance-master-plan-approval/78287506007/
"In Boulder’s latest zoning reforms, a new way of thinking about ‘neighborhood character’",Reporting,Colorado,Rezoning,https://boulderreportinglab.org/2025/02/06/in-boulders-latest-zoning-reforms-a-new-way-of-thinking-about-neighborhood-character/
"Republican bill seeks more local control over wind, solar farms",Reporting,Wisconsin,Commercial,https://wisconsinwatch.org/2025/01/wisconsin-wind-solar-farm-energy-republican-bill-renewable-climate/
Baltimore’s transit woes show why we need local control,Reporting,Maryland,Transit,https://marylandmatters.org/2024/12/30/baltimores-transit-woes-show-why-we-need-local-control/
"Republicans target Michigan’s permitting for big solar and wind projects",Reporting,Michigan,Commercial,https://www.mlive.com/environment/2025/02/republicans-target-michigans-permitting-for-big-solar-and-wind-projects.html
Keep cities local control,Reporting,Minnesota,Housing (General),https://www.twincities.com/2017/05/06/our-view-keep-cities-local-control/
Letter: ‘Local control’ cripples housing in Maine,Op-Ed,Maine,Housing (General),https://www.pressherald.com/2025/02/07/letter-maines-housing-policies-need-some-serious-rethinking/
"Upscale mall's conversion into housing to transform wealthy Calif. town",Reporting,California,Mixed Use,https://www.sfgate.com/centralcoast/article/upscale-california-mall-turn-another-department-20149755.php
California voters reject 2 housing-affordability measures,Reporting,California,New Apartments,https://www.capradio.org/articles/2024/11/08/california-voters-reject-2-housing-affordability-measures/
Opinion: California Can Build New Housing That Is Resistant to Wildfires,Op-Ed,California,New Apartments,https://timesofsandiego.com/opinion/2025/02/10/california-can-build-new-housing-that-is-resistant-to-wildfires/
"California to remove restrictions on ADUs, add enforcement if cities don't comply with housing laws",Reporting,California,ADUs,https://www.abc10.com/article/news/local/new-california-housing-laws-2025/103-627fff67-decd-49da-9606-26b5fbfc4370
John Burns: The ‘California exodus’ storyline is coming to an end,Op-Ed,California,Housing (General),https://www.housingwire.com/articles/southern-california-housing-market-2025-migration-job-growth-la-wildfires/
"LA mandating low-income housing in Palisades rebuild could be unconstitutional, experts say",Reporting,California,New Apartments,https://www.thecentersquare.com/california/article_978c0d02-e5af-11ef-870b-57babee8b913.html
"Bay Area high-speed rail will displace hundreds of residents, businesses",Reporting,California,Transit,https://www.sfgate.com/bayarea/article/SF-train-to-displace-hundreds-17468285.php
"In ‘Landmark’ Vote, Cambridge Ends Single-Family Zoning",Reporting,Masschusetts,Zoning,https://www.thecrimson.com/article/2025/2/11/cambridge-ends-single-family-zoning/
Housing crisis sparks bipartisan interest in efforts to override local zoning codes,Reporting,New Hampshire,Zoning,https://newhampshirebulletin.com/2025/02/11/housing-crisis-sparks-bipartisan-interest-in-efforts-to-override-local-zoning-codes/
EXCLUSIVE: Colorado lawmakers to introduce legislation to address affordable condo construction issues,Reporting,Colorado,New Apartments,https://www.coloradopolitics.com/news/affordable-condo-construction-bill-colorado/article_32792f60-e895-11ef-aeb6-d3dcf5321fe2.html
Group housing to be built inside historic Tacoma church. Neighbors are not pleased,Reporting,Washington,New Apartments,https://www.thenewstribune.com/news/local/article300064519.html
"OKC's affordable housing plan aims to 'fill the gaps,' reduce homelessness",Reporting,Oklahoma,New Apartments,https://www.oklahoman.com/story/news/local/oklahoma-city/2025/02/11/okc-housing-affordability-implementation-plan-aims-curb-homelessness/78249016007/
Stearns County Board Approves Controversial Construction Project,Reporting,Ohio,New Apartments,https://wjon.com/stearns-county-board-approves-controversial-construction-project/
How bad is Maryland’s housing affordability crisis? Ask this Baltimore couple.,Reporting,Maryland,Housing Crisis,https://www.thebaltimorebanner.com/community/housing/housing-affordability-crisis-maryland-ZBJJUD54SBH47J5CUNBGOJKNAQ/
Former GTE/Verizon site to house 180+ apartments off East Empire in Bloomington,Reporting,Indiana,New Apartments,https://www.25newsnow.com/2025/02/11/former-gteverizon-spot-house-180-apartments-off-east-empire-bloomington/
"Transit-oriented, 350-apartment development officially a go",Reporting,Georgia,New Apartments,https://atlanta.urbanize.city/post/brookhaven-residences-perimeter-summit-350-apartment-development-groundbreaking-images
Greensburg plans zoning review for 1st time in 30 years,Reporting,Pennsyvlania,Zoning,https://triblive.com/local/westmoreland/greensburg-plans-zoning-review-for-first-time-in-30-years/
Council approves construction of new playgrounds at 3 parks in Jupiter,Reporting,Florida,Construction,https://www.wflx.com/2025/02/11/council-approves-construction-new-playgrounds-3-parks-jupiter/
"Cambridge City Council approves rezoning, expanding multifamily housing 'in a Paris style' citywide",Reporting,Massachusetts,Zoning,https://www.wcvb.com/article/cambridge-massachusetts-housing-zoning-change/63754218
Ohio hits brakes on building electric-vehicle charging stations amid Trump spending freeze,Reporting,Ohio,EV Charging,https://www.cleveland.com/news/2025/02/ohio-hits-brakes-on-building-electric-vehicle-charging-stations-amid-trump-spending-freeze.html
Simsbury Planning Commission adopts three new housing policies,Reporting,Connecticut,Zoning,https://www.ctinsider.com/connecticut/article/simsbury-planning-commission-housing-regulations-20158878.php
Developer appeals Unity zoning decision against proposed solar farm to Westmoreland court,Reporting,Pennsyvlania,Zoning,https://triblive.com/local/westmoreland/developer-appeals-unity-zoning-decision-against-proposed-solar-farm-to-westmoreland-court/
Breckenridge affordable housing project moves on to next steps after getting the OK from planning officials,Reporting,Colorado,New Apartments,https://www.summitdaily.com/news/breckenridge-east-peak-8-workforce-housing-february/
Waterfront zoning changes approved by the North Hempstead board,Reporting,New York,Zoning,https://www.longislandpress.com/2025/02/11/waterfront-zoning-changes-approved/
"San José Mayor Proposes Permanent Shift in Homeless Funding From Housing to Shelter",Reporting,California,Homelessness,https://www.kqed.org/news/12026437/san-jose-mayor-proposes-permanent-shift-homeless-funding-from-housing-shelter
State's new housing plan says the Berkshires' housing crisis won't necessarily be solved by building more houses,Reporting,Massachusetts,Housing Crisis,https://www.berkshireeagle.com/news/local/state-affordable-housing-plan-berkshires/article_0b9c0cb2-e4d2-11ef-9a30-f3818d93e2e3.html
Ordinance to change Mason's zoning laws to allow marijuana sales faces opposition,Reporting,Ohio,Commercial,https://www.wlwt.com/article/ordinance-mason-zoning-laws-marijuana-sales-opposition/63748027
